ID,Text,Category
16,I think we've seen a deterioration of values.,No
17,I think for a while as a nation we condoned those things we should have condemned.,No
20,"We got away, we got into this feeling that value- free education was the thing.",No
21,And I don't believe that at all I do believe there are fundamental rights and wrongs as far as use.,No
22,"And, of course, as far as the how we make it better, yes, we can do better on interdiction.",No
24,We've got to get after the users more.,No
25,We have to change this whole culture.,No
30,"Entertainment industry, people involved in the schools, education.",No
31,And it isn't a Republican or a Democrat or a liberal problem.,No
33,And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.,No
34,"But I think we're all in this together, and my plea to the American people is values in the schools.",No
36,I agree with Mr. Bush that values are important.,No
41,Governors like me and others have been trying to deal with the consequences.,No
45,"Values begin at the top, in the White House.",No
46,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,No
50,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",No
52,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",No
54,But we also have to take demand seriously.,No
57,Doing better in the neighborhoods.,No
58,"But I think we're all in this together, and my plea to the American people is values in the schools.",No
60,I agree with Mr. Bush that values are important.,No
61,But it's important that our leaders demonstrate those values from the top.,No
65,Governors like me and others have been trying to deal with the consequences.,No
69,"Values begin at the top, in the White House.",No
70,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,No
74,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",No
76,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",No
77,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",Yes
78,But we also have to take demand seriously.,No
81,And in my state I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country.,Yes
82,We're helping youngsters; we're reaching out to them.,No
83,"And we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that's the kind of effort we need in every elementary school in the United States of America.",No
84,"And we've got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances.",No
85,"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country.",No
90,I am very careful in public life about dealing with classified information.,No
93,It was the Reagan-Bush administration that brought this man to justice.,Yes
94,"And as the governor of Massachusetts knows, there was no evidence that governor - that Mr. Noriega was involved in drugs, no hard evidence until we indicted him.",Yes
96,Panama is a friendly country.,No
97,"I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him.",Yes
98,And we want to bring him to justice.,No
99,And so call off all those pickets out there that are trying to tear down seven different administrations.,No
105,"Yes, I've been very specific about those, John.",No
106,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",Yes
107,"First, I've suggested that there are certain weapons systems which we don't need and we can't afford.",No
111,Building that kind of growth expands revenues and helps to bring down that deficit.,No
114,It's very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected.,No
115,I've also suggested that on the domestic side there are areas where we can make some cuts.,No
116,"We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20-25 billion a year, which is what we've been doing under this administration.",Yes
117,"We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again.",No
118,The thing I don't understand about Mr. Bush's approach to this is how he could possibly be serious about bringing that deficit down given what he says he wants to do.,No
119,"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break.",Yes
120,He also wants to spend a lot of money on additional programs.,No
121,"If he keeps this up, he's going to be the Joe Isuzu of American politics.",No
128,Is this the time to unleash our one-liners?,No
132,"There are so many things there, I don't quite know where to begin.",No
133,"When you cut capital gains, you put people to work.",No
136,It's not going to cost the government money.,No
138,So that's one of the things that I think makes a big difference between us.,No
139,"Massachusetts doesn't have an enormous defense budget, but nevertheless, the governor raised taxes five different times.",Yes
142,"And it permits - economists on the East Coast and West think it's good - it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes.",No
148,I think it's the Republican Party and my concern to bring it down.,No
151,"I'd like to ask the Governor to join in getting for the president what 43 governors have, the line-item veto.",Yes
153,I would like a balanced budget amendment.,No
154,But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.,Yes
