ID,Text
131,Let me help the governor.
219,"The last time the Vice President used that phrase, I suspect he remembers it, don't you?"
384,This isn't a question of a little charity for the homeless.
411,Go out and take a look at St. Louis at some of that effort.
432,I don't think it's a good thing.
591,But I'll tell you what I was thinking of.
611,I'm simply not going to do that.
726,He's got to get this thing more clear.
750,"Yes, we should make every effort to try to help those hostages come home, but it can never be because we make concessions."
816,And I think it's important to understand what happened here.
826,You cannot make concessions to terrorists.
893,I had hoped this had been a little friendlier evening.
942,I don't want to go back to malaise and misery index.
1036,We can also have a- an end to the extremes.
1116,I don't believe it will happen.
1128,"But no president of the United States, in my opinion, should signal in advance to a prospective enemy, what his uhh - decision might be or what option he might exercise."
1150,And I know that everybody uh - makes mistakes.
1204,"Well, first, uh - let me set the record straight."
1233,I would do the opposite in every respect.
1242,"A mayor of a city like New York, for instance, needs to know uh - eighteen months or two years ahead of time what responsibility the city will have in administration and in financing - in things like housing, uh - pollution control, uh - crime control, education, welfare and health."
1255,The last point is that the major - uh thrust has gotta be to put people back to work.
1260,"And over a longer period of time, let the federal government begin to absorb part of it that's now paid by the state governments."
1263,Let me uh - speak out very strongly.
1311,I would not work hard to support any of those.
1406,"Well, I think the answer uh - as to the kind of person that I would select uh - is obvious."
1554,I love America just as all of you love America.
1582,We don't have good health care.
1596,Now I don't know all the answers.
1600,We might have to do it slowly.
1604,"I believe in the greatness of our country, and I believe the American people are ready for a change in Washington."
1669,I've got a different view.
1674,And I'm looking forward to having that debate.
1698,"Crack down on China, if and when they cheat."
1943,What things would I cut from spending?
2156,"But for younger people, we need to talk about what changes are going to be occurring."
2688,And Republicans and Democrats both love America.
2842,"I believe that the United States ha- had many successes in recent years, in recent months, as far as the Communist movement is concerned."
2855,We wanted to have majority rule with the full protection of the rights of the minority.
2902,"Every time Mr. Ford speaks from a position of secrecy in negotiations, in secret - in secret treaties that've been uh - pursued and achieved, in supporting dictatorships, in ignoring human rights, we are weak and the rest of the world knows it."
3073,"I would uh - also like to point out that we, in this country, have let our economy go down the drain."
3090,"Now, I can't say when this can come."
3139,"I believe that the cruise missiles which we are now developing in research and development across the spectrum from air, from the sea, or from the land, uh - can be uh - included within a SALT II agreement."
3262,Now I would be willing to go ahead with negotiations.
3321,It may later be Catholics; it may be - later be Baptists who are threatened by some foreign country.
3322,But we ought to stand staunch.
3339,But not until they have given us the full accounting of our MIAs.
3369,"I remember the world with NATO, and the world of Point Four, and the world of the Marshall Plan, and the world of the Peace Corps."
3385,America is at peace and with freedom.
3429,How's it going to affect my job?
3436,"Number three, we've got to make sure that none of that money is going to pad CEO bank accounts or to promote golden parachutes."
3440,And I think that the fundamentals of the economy have to be measured by whether or not the middle class is getting a fair shake.
3441,"That's why I'm running for president, and that's what I hope we're going to be talking about tonight."
3519,Are you afraid I couldn't hear him?
3539,"And I still believe, under the right leadership, our best days are ahead of us."
3555,"I've got a pen, and I'm going to veto every single spending bill that comes across my desk."
3579,Maybe to Senator Obama it's not a lot of money.
3583,Do you know that it's gone completely out of control to the point where it corrupts people?
3595,The worst thing we could do in this economic climate is to raise people's taxes.
3647,"I know we have to, but this is a classic example of walking the walk and talking the talk."
3694,We've got to make sure that our children are keeping pace in math and in science.
3695,And one of the things I think we have to do is make sure that college is affordable for every young person in America.
3698,So there are some -- some things that we've got to do structurally to make sure that we can compete in this global economy.
3975,But we have to get the cooperation of the people in those areas.
4202,But we have to have a president who is clear that you don't deal with Russia based on staring into his eyes and seeing his soul.
4250,The second point I want to make is -- is the issue of energy.
4275,"So I want to say that, with the Nunn-Lugar thing..."
4336,"The other thing that we have to focus on, though, is Al Qaida."
4387,That sense is something that I want to restore.
4393,And I know that they know that I'll take care of them.
4398,And that's going to be my job.
4401,I don't think I need any on-the-job training.
5487,"Well, let -- let me say, Bob, thank you."
5491,"Americans are hurting right now, and they're angry."
5493,"They're innocent victims of greed and excess on Wall Street and as well as Washington, D.C. And they're angry, and they have every reason to be angry."
5496,"But we also have to have a short-term fix, in my view, and long- term fixes."
5502,"Now, I know the criticism of this."
5503,"Well, what about the citizen that stayed in their homes?"
5506,And so we've got to reverse this.
5527,And we've got to get the financial package working much quicker than it has been working.
5528,"Last point I want to make, though."
5540,"Joe, I want to tell you, I'll not only help you buy that business that you worked your whole life for and be able -- and I'll keep your taxes low and I'll provide available and affordable health care for you and your employees."
5541,And I will not have -- I will not stand for a tax increase on small business income.
5559,"And what I want to do is to make sure that the plumber, the nurse, the firefighter, the teacher, the young entrepreneur who doesn't yet have money, I want to give them a tax break now."
5565,"In other words, we're going to take Joe's money, give it to Senator Obama, and let him spread the wealth around."
5570,Who -- why would you want to increase anybody's taxes right now?
5571,"Why would you want to do that, anyone, anyone in America, when we have such a tough time, when these small business people, like Joe the plumber, are going to create jobs, unless you take that money from him and spread the wealth around."
5582,"I would prefer that none of us had to pay taxes, including myself."
5583,"But ultimately, we've got to pay for the core investments that make this economy strong and somebody's got to do it."
5587,"Well, I don't mind paying a little more."
5592,We need to cut the business tax rate in America.
5594,"Now, of all times in America, we need to cut people's taxes."
5595,"We need to encourage business, create jobs, not spread the wealth around."
5609,But there is no doubt that we've been living beyond our means and we're going to have to make some adjustments.
5614,So let me get to that.
5622,"And I want to go through the federal budget line by line, page by page, programs that don't work, we should cut."
5630,"And we're going to have to embrace a culture and an ethic of responsibility, all of us, corporations, the federal government, and individuals out there who may be living beyond their means."
5641,But -- OK. All right.
5643,"Energy -- well, first -- second of all, energy independence."
5644,We have to have nuclear power.
5648,"OK, what -- what would I cut?"
5655,I know how to save billions of dollars in defense spending.
5676,And I want to make sure that we are focused on those programs that work.
5692,And let me tell you...
5713,"So the fact is, let's look at our records, Senator Obama."
5736,We need to move in a new direction.
5738,"Let me just say, Bob."
5764,So I think the tone of this campaign could have been very different.
5773,"So I want to tell you, we will run a truthful campaign."
5774,This is a tough campaign.
5779,And that's -- that's -- that's an unfortunate part.
5783,"Well, look, you know, I think that we expect presidential campaigns to be tough."
5788,"And, now, I think the American people are less interested in our hurt feelings during the course of the campaign than addressing the issues that matter to them so deeply."
5815,You've got to read what he said...
5823,"The important point here is, though, the American people have become so cynical about our politics, because all they see is a tit- for-tat and back-and-forth."
5827,We do and I hope...
5830,"But when people suggest that I pal around with terrorists, then we're not talking about issues."
5849,"I mean, we can have a debate back and forth about the merits of each other's campaigns."
5860,"Mr. Ayers, I don't care about an old washed-up terrorist."
5864,"So all of these things need to be examined, of course."
5886,Let me tell you who I associate with.
5894,And the facts are facts and records are records.
5907,"Well, Joe Biden, I think, is one of the finest public servants that has served in this country."
5936,"Her husband's a pretty tough guy, by the way, too."
5941,"I agree with that, John."
5942,"I do want to just point out that autism, for example, or other special needs will require some additional funding, if we're going to get serious in terms of research."
5947,I think that Joe Biden is qualified in many respects.
5948,"But I do point out that he's been wrong on many foreign policy and national security issues, which is supposed to be his strength."
5974,"Senator Obama will tell you, in the -- as the extreme environmentalists do, it has to be safe."
5996,"But I also believe that for far too long, certainly during the course of the Bush administration with the support of Senator McCain, the attitude has been that any trade agreement is a good trade agreement."
6004,We've got to have a president who is going to be advocating on behalf of American businesses and American workers and I make no apology for that.
6006,"Well, you know, I admire so much Senator Obama's eloquence."
6016,"Now, on the subject of free trade agreements."
6019,But let me give you another example of a free trade agreement that Senator Obama opposes.
6049,"Look, as I travel around the country, this is the issue that will break your heart over and over again."
6057,The only thing we're going to try to do is lower costs so that those cost savings are passed onto you.
6064,We've got to put more money into preventive care.
6072,And I am convinced we need to do a lot of things.
6073,We need to put health care records online.
6080,We should have physical fitness programs and nutrition programs in schools.
6087,"Now, Senator Obama, I'd like -- still like to know what that fine is going to be, and I don't think that Joe right now wants to pay a fine when he is seeing such difficult times in America's economy."
6107,So here's what we do.
6132,"I'm going to give them $5,000 to take with them wherever they want to go, and this will give them affordability."
6133,This will give them availability.
6135,This really gets down to the fundamental difference in our philosophies.
6138,"I want, Joe, you to do the job."
6139,I want to leave money in your pocket.
6141,That's what I'm all about.
6152,And don't take my word for it.
6154,"All I want to do, if you've already got health care, is lower your costs."
6164,That's not appropriate to do.
6168,I think that decisions should rest in the hands of the states.
6178,This is a very important issue we're talking about.
6183,And so that's what I will do.
6187,I would consider anyone in their qualifications.
6192,"And it is true that this is going to be, I think, one of the most consequential decisions of the next president."
6194,Now I would not provide a litmus test.
6196,I think that abortion is a very difficult issue and it is a moral issue and one that I think good people on both sides can disagree on.
6213,We have to change the culture of America.
6214,Those of us who are proudly pro-life understand that.
6215,And it's got to be courage and compassion that we show to a young woman who's facing this terribly difficult decision.
6227,"Yes, let me respond to this."
6243,We should try to reduce these circumstances.
6247,"Just again, the example of the eloquence of Senator Obama."
6273,"If we do those things, then I believe that we can create a better school system."
6276,Parents are going to have to show more responsibility.
6287,"Now, throwing money at the problem is not the answer."
6289,So I believe that we need to reward these good teachers.
6291,"Look, we must improve education in this country."
